path	category	target_case	proposed_path	reason	confidence
images/items/WF-WW-001A.png	public_assets	kebab	images/items/wf-ww-001-a.png	rename to kebab-case	medium
images/items/WF-WW-001A.webp	public_assets	kebab	images/items/wf-ww-001-a.webp	rename to kebab-case	medium
images/logos/logo_whimsicalfrog.png	public_assets	kebab	images/logos/logo-whimsicalfrog.png	rename to kebab-case	medium
images/logos/logo_whimsicalfrog.webp	public_assets	kebab	images/logos/logo-whimsicalfrog.webp	rename to kebab-case	medium
images/signs/sign_door_room1.png	public_assets	kebab	images/signs/sign-door-room1.png	rename to kebab-case	medium
images/signs/sign_door_room1.webp	public_assets	kebab	images/signs/sign-door-room1.webp	rename to kebab-case	medium
images/signs/sign_door_room2.png	public_assets	kebab	images/signs/sign-door-room2.png	rename to kebab-case	medium
images/signs/sign_door_room2.webp	public_assets	kebab	images/signs/sign-door-room2.webp	rename to kebab-case	medium
images/signs/sign_door_room3.png	public_assets	kebab	images/signs/sign-door-room3.png	rename to kebab-case	medium
images/signs/sign_door_room3.webp	public_assets	kebab	images/signs/sign-door-room3.webp	rename to kebab-case	medium
images/signs/sign_door_room4.png	public_assets	kebab	images/signs/sign-door-room4.png	rename to kebab-case	medium
images/signs/sign_door_room4.webp	public_assets	kebab	images/signs/sign-door-room4.webp	rename to kebab-case	medium
images/signs/sign_door_room5.png	public_assets	kebab	images/signs/sign-door-room5.png	rename to kebab-case	medium
images/signs/sign_door_room5.webp	public_assets	kebab	images/signs/sign-door-room5.webp	rename to kebab-case	medium
images/signs/sign_main.png	public_assets	kebab	images/signs/sign-main.png	rename to kebab-case	medium
images/signs/sign_main.webp	public_assets	kebab	images/signs/sign-main.webp	rename to kebab-case	medium
images/signs/sign_welcome.png	public_assets	kebab	images/signs/sign-welcome.png	rename to kebab-case	medium
images/signs/sign_welcome.webp	public_assets	kebab	images/signs/sign-welcome.webp	rename to kebab-case	medium
images/signs/sign_whimsicalfrog.png	public_assets	kebab	images/signs/sign-whimsicalfrog.png	rename to kebab-case	medium
images/signs/sign_whimsicalfrog.webp	public_assets	kebab	images/signs/sign-whimsicalfrog.webp	rename to kebab-case	medium
includes/admin_logger.php	php_class	PascalCase	includes/AdminLogger.php	PSR-4 class/interface/trait file	high
includes/auth_helper.php	php_class	PascalCase	includes/AuthHelper.php	PSR-4 class/interface/trait file	high
includes/database.php	php_class	PascalCase	includes/Database.php	PSR-4 class/interface/trait file	high
includes/database_logger.php	php_class	PascalCase	includes/DatabaseLogger.php	PSR-4 class/interface/trait file	high
includes/email_helper.php	php_class	PascalCase	includes/EmailHelper.php	PSR-4 class/interface/trait file	high
includes/error_logger.php	php_class	PascalCase	includes/ErrorLogger.php	PSR-4 class/interface/trait file	high
includes/file_helper.php	php_class	PascalCase	includes/FileHelper.php	PSR-4 class/interface/trait file	high
includes/http_client.php	php_class	PascalCase	includes/HttpClient.php	PSR-4 class/interface/trait file	high
includes/logger.php	php_class	PascalCase	includes/Logger.php	PSR-4 class/interface/trait file	high
includes/logging_config.php	php_class	PascalCase	includes/LoggingConfig.php	PSR-4 class/interface/trait file	high
includes/response.php	php_class	PascalCase	includes/Response.php	PSR-4 class/interface/trait file	high
includes/room_helper.php	php_class	PascalCase	includes/RoomHelper.php	PSR-4 class/interface/trait file	high
includes/session.php	php_class	PascalCase	includes/SessionManager.php	PSR-4 class/interface/trait file	high
room_main.php	public_php	kebab	room-main.php	view/template/admin page: kebab-case	medium
sections/room_template.php	public_php	kebab	sections/room-template.php	view/template/admin page: kebab-case	medium
set_session.php	public_php	kebab	set-session.php	view/template/admin page: kebab-case	medium
src/commerce/cartSystem.js	public_assets	kebab	src/commerce/cart-system.js	frontend asset: kebab-case	high
src/commerce/salesChecker.js	public_assets	kebab	src/commerce/sales-checker.js	frontend asset: kebab-case	high
src/core/actionRegistry.js	public_assets	kebab	src/core/action-registry.js	frontend asset: kebab-case	high
src/core/apiClient.js	public_assets	kebab	src/core/api-client.js	frontend asset: kebab-case	high
src/core/domUtils.js	public_assets	kebab	src/core/dom-utils.js	frontend asset: kebab-case	high
src/core/dynamicBackground.js	public_assets	kebab	src/core/dynamic-background.js	frontend asset: kebab-case	high
src/core/eventBus.js	public_assets	kebab	src/core/event-bus.js	frontend asset: kebab-case	high
src/core/imageErrorHandler.js	public_assets	kebab	src/core/image-error-handler.js	frontend asset: kebab-case	high
src/room/coordinateManager.js	public_assets	kebab	src/room/coordinate-manager.js	frontend asset: kebab-case	high
src/room/eventManager.js	public_assets	kebab	src/room/event-manager.js	frontend asset: kebab-case	high
src/room/roomModalManager.js	public_assets	kebab	src/room/room-modal-manager.js	frontend asset: kebab-case	high
src/ui/globalPopup.js	public_assets	kebab	src/ui/global-popup.js	frontend asset: kebab-case	high
src/ui/searchModal.js	public_assets	kebab	src/ui/search-modal.js	frontend asset: kebab-case	high
under_construction.php	public_php	kebab	under-construction.php	view/template/admin page: kebab-case	medium
